DATE,BachelorRate,HomeOwnerRate,HouseholdMedianIncome,NumEmployee,AvgRent,GDP,Commute,AvgPrice
1/1/2014,19.5,75.24669031,58792,13139,1167,1204350,21.66,238273
1/2/2014,19.5,75.24669031,58792,13291,1172,1204350,21.66,239949
1/3/2014,19.5,75.24669031,58792,13364,1178,1204350,21.66,241893
1/4/2014,19.5,75.24669031,58792,13443,1184,1204350,21.66,244105
1/5/2014,19.5,75.24669031,58792,13459,1189,1204350,21.66,246060
1/6/2014,19.5,75.24669031,58792,13450,1195,1204350,21.66,247882
1/7/2014,19.5,75.24669031,58792,13484,1201,1204350,21.66,249540
1/8/2014,19.5,75.24669031,58792,13404,1206,1204350,21.66,251167
1/9/2014,19.5,75.24669031,58792,13499,1212,1204350,21.66,252980
1/10/2014,19.5,75.24669031,58792,13575,1217,1204350,21.66,254826
1/11/2014,19.5,75.24669031,58792,13560,1223,1204350,21.66,256851
1/12/2014,19.5,75.24669031,58792,13525,1228,1204350,21.66,258746
1/1/2015,20.1,72.96098362,57960,13317,1234,1183112,22.73,260499
1/2/2015,20.1,72.96098362,57960,13411,1238,1183112,22.73,261927
1/3/2015,20.1,72.96098362,57960,13449,1243,1183112,22.73,263271
1/4/2015,20.1,72.96098362,57960,13482,1248,1183112,22.73,264761
1/5/2015,20.1,72.96098362,57960,13494,1253,1183112,22.73,266417
1/6/2015,20.1,72.96098362,57960,13434,1257,1183112,22.73,268107
1/7/2015,20.1,72.96098362,57960,13398,1262,1183112,22.73,270219
1/8/2015,20.1,72.96098362,57960,13322,1267,1183112,22.73,272074
1/9/2015,20.1,72.96098362,57960,13332,1272,1183112,22.73,273980
1/10/2015,20.1,72.96098362,57960,13384,1276,1183112,22.73,275796
1/11/2015,20.1,72.96098362,57960,13357,1280,1183112,22.73,277628
1/12/2015,20.1,72.96098362,57960,13388,1284,1183112,22.73,279853
1/1/2016,21,72.29504786,55973,13152,1288,1211858,22.71,282119
1/2/2016,21,72.29504786,55973,13351,1291,1211858,22.71,284318
1/3/2016,21,72.29504786,55973,13384,1294,1211858,22.71,286072
1/4/2016,21,72.29504786,55973,13402,1297,1211858,22.71,287216
1/5/2016,21,72.29504786,55973,13409,1299,1211858,22.71,288094
1/6/2016,21,72.29504786,55973,13320,1302,1211858,22.71,289091
1/7/2016,21,72.29504786,55973,13266,1304,1211858,22.71,290545
1/8/2016,21,72.29504786,55973,13241,1306,1211858,22.71,291577
1/9/2016,21,72.29504786,55973,13217,1308,1211858,22.71,292740
1/10/2016,21,72.29504786,55973,13235,1310,1211858,22.71,294455
1/11/2016,21,72.29504786,55973,13244,1312,1211858,22.71,296970
1/12/2016,21,72.29504786,55973,13220,1314,1211858,22.71,298981
1/1/2017,22.3,74.10892796,61111,12927,1316,1290884,22.71,300005
1/2/2017,22.3,74.10892796,61111,13089,1317,1290884,22.71,300934
1/3/2017,22.3,74.10892796,61111,13239,1319,1290884,22.71,302052
1/4/2017,22.3,74.10892796,61111,13275,1321,1290884,22.71,303343
1/5/2017,22.3,74.10892796,61111,13251,1322,1290884,22.71,304400
1/6/2017,22.3,74.10892796,61111,13224,1323,1290884,22.71,305325
1/7/2017,22.3,74.10892796,61111,13166,1324,1290884,22.71,305654
1/8/2017,22.3,74.10892796,61111,13151,1326,1290884,22.71,306073
1/9/2017,22.3,74.10892796,61111,13175,1327,1290884,22.71,306515
1/10/2017,22.3,74.10892796,61111,13244,1328,1290884,22.71,307865
1/11/2017,22.3,74.10892796,61111,13264,1330,1290884,22.71,309677
1/12/2017,22.3,74.10892796,61111,13283,1332,1290884,22.71,311672
1/1/2018,23.5,75.91081367,59942,13067,1335,1425928,21.96,313361
1/2/2018,23.5,75.91081367,59942,13287,1338,1425928,21.96,314285
1/3/2018,23.5,75.91081367,59942,13381,1342,1425928,21.96,315005
1/4/2018,23.5,75.91081367,59942,13367,1346,1425928,21.96,315391
1/5/2018,23.5,75.91081367,59942,13398,1351,1425928,21.96,315947
1/6/2018,23.5,75.91081367,59942,13352,1356,1425928,21.96,317017
1/7/2018,23.5,75.91081367,59942,13365,1362,1425928,21.96,318119
1/8/2018,23.5,75.91081367,59942,13312,1367,1425928,21.96,319908
1/9/2018,23.5,75.91081367,59942,13354,1373,1425928,21.96,320906
1/10/2018,23.5,75.91081367,59942,13426,1379,1425928,21.96,322322
1/11/2018,23.5,75.91081367,59942,13450,1384,1425928,21.96,322745
1/12/2018,23.5,75.91081367,59942,13429,1389,1425928,21.96,323944
1/1/2019,23.9,75.23486519,68311,13241,1395,1476345,22.55,325743
1/2/2019,23.9,75.23486519,68311,13433,1399,1476345,22.55,328553
1/3/2019,23.9,75.23486519,68311,13468,1404,1476345,22.55,330235
1/4/2019,23.9,75.23486519,68311,13448,1409,1476345,22.55,331137
1/5/2019,23.9,75.23486519,68311,13470,1414,1476345,22.55,331472
1/6/2019,23.9,75.23486519,68311,13459,1419,1476345,22.55,332141
1/7/2019,23.9,75.23486519,68311,13495,1423,1476345,22.55,332797
1/8/2019,23.9,75.23486519,68311,13517,1427,1476345,22.55,333663
1/9/2019,23.9,75.23486519,68311,13558,1431,1476345,22.55,335242
1/10/2019,23.9,75.23486519,68311,13623,1435,1476345,22.55,335226
1/11/2019,23.9,75.23486519,68311,13603,1436,1476345,22.55,335424
1/12/2019,23.9,75.23486519,68311,13603,1437,1476345,22.55,335641
